	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	B6
gene_1520	0	2	2	0	1	0	1	0	0	1	1
gene_1521	24	20	13	18	29	15	19	24	23	15	17
gene_1522	31	19	36	46	28	42	30	49	39	35	54
gene_1523	5	3	3	2	5	1	1	1	0	3	0
gene_1524	53	77	25	33	17	39	25	50	27	7	55
gene_1525	4	3	0	0	2	0	4	8	0	2	3
gene_1526	50	59	23	32	58	25	40	38	9	51	68
gene_1527	31	18	38	29	13	23	39	31	29	39	19
gene_1528	0	2	5	11	34	0	52	0	0	1	36
gene_1529	1	0	0	1	1	0	0	0	1	7	1
gene_1530	36	43	53	69	68	84	94	66	80	129	39
gene_1531	524	386	261	598	392	381	380	465	284	236	292
gene_1532	0	1	1	37	0	12	16	3	1	0	23
gene_1533	8	24	9	11	18	15	9	14	10	12	20
gene_1534	2	0	0	0	3	1	2	0	0	0	1
gene_1535	22	47	43	30	27	43	37	42	32	38	35
gene_1536	261	197	225	342	256	140	189	183	285	246	344
gene_1537	4	1	0	0	1	2	2	0	0	6	0
gene_1538	9	18	3	1	0	1	0	8	0	0	2
gene_1539	9	32	30	66	28	53	31	76	29	37	31
gene_1540	31	35	46	32	52	42	55	39	72	60	42
gene_1541	2	0	1	0	0	1	0	0	5	1	0
gene_1542	2	4	7	20	8	7	18	2	5	10	2
gene_1543	27	15	26	8	22	15	13	29	15	14	16
gene_1544	207	153	176	152	159	189	190	158	200	164	169
gene_1545	77	101	71	58	73	133	78	57	109	68	94
gene_1546	1	8	0	3	0	2	0	0	0	0	0
gene_1547	2	4	1	4	4	5	0	7	7	3	0
gene_1548	162	155	179	181	136	172	106	125	114	143	148
gene_1549	5	0	0	0	2	0	3	1	4	2	0
gene_1550	2	3	9	3	1	4	4	1	4	3	5
gene_1551	339	420	345	326	421	412	406	415	418	367	399
gene_1552	1	3	0	1	0	2	0	1	1	0	1
gene_1553	4	4	9	1	1	0	5	10	4	2	7
gene_1554	1	1	2	1	0	0	2	0	10	3	1
gene_1555	21	14	20	10	10	15	18	5	15	17	16
gene_1556	1	9	0	1	0	0	1	8	0	1	0
gene_1557	45	110	62	74	67	72	37	38	45	53	48
gene_1558	8	16	3	8	0	1	17	16	5	12	15
gene_1559	56	42	81	53	82	66	54	74	62	73	73
gene_1560	0	1	0	0	1	0	0	0	0	2	0
gene_1561	5	11	1	4	5	10	3	9	4	6	15
gene_1562	5	0	0	4	0	4	0	4	2	4	0
gene_1563	232	175	240	191	302	175	182	228	172	197	224
gene_1564	0	14	2	0	0	23	19	0	30	2	0
gene_1565	20	24	25	34	27	24	36	21	35	30	33
gene_1566	31	0	3	4	7	0	10	3	14	14	3
gene_1567	0	5	1	0	4	11	0	0	4	0	9
gene_1568	158	102	72	107	147	94	202	184	101	55	40
gene_1569	21	42	19	33	86	81	58	45	25	52	52
gene_1570	222	171	39	365	150	173	155	108	388	493	25
gene_1571	33	69	57	71	30	55	62	61	39	49	47
gene_1572	440	246	221	326	175	325	205	144	346	224	353
gene_1573	0	0	3	0	2	2	0	0	0	0	2
gene_1574	11	5	14	16	3	3	9	14	4	6	4
gene_1575	54	18	64	140	56	25	27	90	47	145	42
gene_1576	25	35	9	12	22	12	17	25	21	33	19
gene_1577	27	41	8	7	16	3	13	16	11	5	19
gene_1578	499	458	364	346	501	469	697	662	619	431	453
gene_1579	105	109	59	57	53	154	129	135	135	89	109
gene_1580	0	35	4	0	6	0	0	2	16	2	8
gene_1581	63	1	0	0	37	38	18	3	0	8	10
gene_1582	1	0	4	7	2	4	2	3	0	3	5
gene_1583	4	5	6	4	2	6	7	5	5	13	4
gene_1584	5	7	15	47	12	4	3	12	5	38	19
gene_1585	0	0	0	0	0	3	0	0	0	3	0
gene_1586	22	40	24	25	20	15	36	36	21	13	27
gene_1587	3	27	170	60	21	63	38	0	105	33	54
gene_1588	0	3	1	0	1	0	1	1	1	1	0
gene_1589	11	20	11	21	28	6	25	14	4	17	12
gene_1590	23	28	24	34	21	38	17	42	33	18	20
gene_1591	70	77	75	76	84	69	62	69	64	64	72
gene_1592	173	200	160	226	163	197	162	237	107	156	196
gene_1593	106	68	76	56	41	34	21	28	51	59	140
gene_1594	575	477	594	711	458	711	508	405	741	475	558
gene_1595	81	87	71	69	55	66	102	69	80	103	53
gene_1596	39	28	5	36	23	27	26	27	16	31	13
gene_1597	1	2	0	1	0	1	0	1	1	0	0
gene_1598	147	126	91	167	127	159	83	105	221	188	100
gene_1599	1	1	3	0	2	0	0	0	0	0	0
gene_1600	81	60	47	49	48	30	42	102	58	81	42
gene_1601	14	19	5	8	12	21	3	5	8	3	3
gene_1602	36	38	28	40	33	30	33	37	36	43	40
gene_1603	20	12	9	1	5	7	10	13	8	18	7
gene_1604	235	237	292	276	137	656	432	713	791	500	480
gene_1605	49	57	56	50	40	49	57	56	48	51	66
gene_1606	0	5	1	0	1	5	0	5	33	1	4
gene_1607	10	5	2	4	8	1	5	3	2	3	6
gene_1608	0	0	0	6	2	0	1	1	2	1	1
gene_1609	10	10	5	5	6	0	7	6	2	8	5
gene_1610	22	22	10	21	5	30	17	31	14	6	13
gene_1611	25	8	5	8	23	21	9	9	6	8	8
gene_1612	569	603	612	432	520	580	466	647	518	622	636
gene_1613	109	129	122	160	78	181	183	166	137	130	137
gene_1614	3	9	6	1	4	12	2	4	4	7	4
gene_1615	19	3	9	8	8	7	9	17	7	7	2
gene_1616	145	114	132	136	114	135	124	146	137	130	152
gene_1617	10	9	7	11	7	1	9	10	9	10	8
gene_1618	22	33	38	13	16	31	29	22	12	30	45
gene_1619	85	97	206	110	181	110	73	77	52	71	77
gene_1620	0	0	0	2	0	0	0	12	0	0	0
gene_1621	109	151	109	98	100	74	132	88	100	64	112
gene_1622	0	6	6	1	4	6	4	1	4	0	2
gene_1623	29	18	76	33	15	67	6	21	41	12	17
gene_1624	0	0	0	0	2	1	0	0	1	3	0
gene_1625	44	56	38	44	52	40	36	37	45	21	43
gene_1626	0	0	0	1	0	0	2	2	2	0	0
gene_1627	31	0	4	1	0	3	3	2	2	4	1
gene_1628	2	4	2	2	4	4	3	1	0	1	3
gene_1629	87	71	80	84	100	70	68	75	79	82	108
gene_1630	3	49	14	0	44	3	2	1	1	1	23
gene_1631	869	865	966	796	811	785	841	810	744	733	703
gene_1632	78	88	45	123	57	82	68	91	92	75	96
gene_1633	4	5	6	8	3	6	7	4	6	4	3
gene_1634	1	4	1	1	0	0	0	1	0	0	1
gene_1635	308	410	325	204	316	263	375	346	292	381	233
gene_1636	17	4	9	14	8	21	8	12	7	21	13
gene_1637	4	10	8	6	14	8	6	5	4	7	7
gene_1638	3	6	4	10	1	7	12	7	5	4	11
gene_1639	203	241	241	128	139	295	360	218	124	189	114
gene_1640	174	247	210	233	352	301	500	753	101	346	411
gene_1641	150	204	151	118	178	146	173	154	133	136	145
gene_1642	42	29	25	39	39	29	48	35	38	44	37
gene_1643	77	109	63	110	81	89	151	73	92	113	117
gene_1644	3	9	8	2	6	9	6	4	6	5	2
gene_1645	0	0	0	1	1	0	0	0	0	0	0
gene_1646	221	238	327	587	197	412	383	198	298	353	278
gene_1647	9	11	0	1	1	3	7	12	8	0	0
gene_1648	12	2	3	0	4	71	1	24	8	1	13
gene_1649	112	86	71	74	56	44	123	55	66	128	87
gene_1650	52	71	52	52	72	45	59	43	53	47	82
gene_1651	2	2	2	7	7	3	8	9	3	4	9
gene_1652	1	0	1	0	0	0	2	2	6	1	0
gene_1653	125	47	51	82	59	60	35	86	37	64	103
gene_1654	0	2	0	1	1	2	0	5	0	0	1
gene_1655	150	291	233	501	444	379	449	341	389	278	370
gene_1656	5	4	6	4	8	6	3	2	9	9	4
gene_1657	0	23	1	0	0	7	3	4	5	8	1
gene_1658	2	0	29	34	14	1	7	0	3	4	13
gene_1659	43	2	89	38	6	25	38	28	37	5	83
gene_1660	54	51	53	71	51	73	74	62	53	57	62
gene_1661	20	22	23	22	35	16	32	19	23	28	23
gene_1662	69	61	82	45	73	73	58	49	54	70	53
gene_1663	13	7	10	4	9	10	6	14	15	6	2
gene_1664	29	30	24	16	19	23	39	19	13	25	9
gene_1665	48	54	31	22	4	45	19	25	11	33	29
gene_1666	134	64	7	46	170	17	61	57	164	134	58
gene_1667	493	526	663	543	756	494	691	330	883	936	841
gene_1668	0	1	0	0	0	0	0	0	3	1	1
gene_1669	0	4	1	1	0	0	2	0	6	0	1
gene_1670	26	47	30	51	30	27	36	20	38	8	41
gene_1671	73	142	148	168	163	104	66	206	84	298	89
gene_1672	8	6	41	0	15	28	6	4	7	6	11
gene_1673	102	99	78	66	122	129	85	126	57	48	60
gene_1674	14	0	1	7	0	0	5	0	0	61	3
gene_1675	7	2	10	7	4	7	7	4	9	0	9
gene_1676	11	17	17	21	22	8	13	35	11	13	8
gene_1677	161	80	96	102	157	116	111	107	162	111	66
gene_1678	7	3	4	9	16	7	5	0	3	2	4
gene_1679	29	26	36	19	33	22	19	22	34	23	27
gene_1680	1	2	6	0	4	21	16	1	1	7	8
gene_1681	47	7	30	35	11	31	34	27	56	16	32
gene_1682	3	2	1	2	1	2	4	4	4	2	3
gene_1683	16	20	24	14	11	25	22	27	28	21	15
gene_1684	7	2	11	3	8	10	7	4	19	3	3
gene_1685	0	0	0	0	0	0	1	2	0	2	0
gene_1686	3	2	1	5	6	8	2	5	2	3	0
gene_1687	2	0	0	0	4	1	3	0	0	4	1
gene_1688	49	55	23	14	19	24	32	10	24	7	19
gene_1689	406	371	425	356	392	473	402	401	393	398	427
gene_1690	113	139	65	140	75	74	93	50	116	168	38
gene_1691	1	2	10	4	12	3	4	0	14	1	4
gene_1692	98	57	17	4	38	59	7	69	25	30	17
gene_1693	126	86	94	80	50	115	60	50	82	67	84
gene_1694	85	51	62	58	59	40	38	56	42	42	34
gene_1695	71	73	72	96	73	98	91	94	86	101	71
gene_1696	0	0	1	2	0	0	3	1	0	2	2
gene_1697	59	61	39	84	42	48	62	72	52	54	37
gene_1698	0	2	0	0	0	0	5	19	22	21	9
gene_1699	0	7	0	2	1	15	7	9	0	1	0
gene_1700	3	9	0	0	2	0	19	5	1	0	0
gene_1701	8	19	37	34	15	22	10	26	18	38	23
gene_1702	122	188	72	56	158	67	34	8	192	53	163
gene_1703	10146	6254	7331	19968	15084	4790	21514	33683	10156	30879	34728
gene_1704	78	81	92	82	62	83	82	88	88	83	89
gene_1705	0	1	0	3	25	4	1	4	0	1	6
gene_1706	42	11	7	0	7	2	37	45	7	10	5
gene_1707	63	33	87	56	51	43	64	66	87	106	102
gene_1708	13	0	58	1	10	16	18	7	15	6	4
gene_1709	9	6	7	5	13	7	10	4	8	18	8
gene_1710	7	59	1	18	10	28	18	25	7	20	9
gene_1711	360	312	361	346	370	341	366	310	357	356	324
gene_1712	0	0	2	4	0	2	1	0	1	2	0
gene_1713	7	2	30	5	4	6	16	19	9	16	19
gene_1714	51	50	81	37	68	79	45	64	64	38	32
gene_1715	548	63	416	320	211	229	220	103	143	160	102
gene_1716	68	196	191	258	115	384	97	116	99	147	187
gene_1717	60	29	56	77	61	56	49	60	58	47	62
gene_1718	50	47	63	72	23	64	35	104	31	45	68
gene_1719	95	64	75	69	106	123	94	76	109	154	98
gene_1720	110	79	78	95	92	68	76	114	60	103	99
gene_1721	315	257	225	238	297	285	302	316	265	357	322
gene_1722	26	42	26	9	14	14	17	20	9	30	15
gene_1723	88	61	110	80	84	125	125	86	58	94	117
gene_1724	19	18	15	5	16	16	14	6	27	10	9
gene_1725	9	0	2	1	10	23	17	4	23	1	0
gene_1726	51	86	50	45	6	4	40	8	39	39	37
gene_1727	45	38	38	44	33	45	37	33	37	36	36
gene_1728	5	5	3	1	8	19	9	5	7	1	26
gene_1729	1	2	1	29	0	0	24	2	0	3	0
gene_1730	17	15	17	15	15	13	11	17	10	20	21
gene_1731	146	216	164	144	154	77	152	142	210	138	217
gene_1732	169	158	189	194	107	131	147	153	120	161	202
gene_1733	116	165	130	137	121	47	145	174	122	127	53
gene_1734	1	2	0	0	1	0	0	0	4	2	0
gene_1735	25	42	47	48	29	37	39	52	23	45	54
gene_1736	46	11	23	27	77	38	46	64	37	18	35
gene_1737	25	17	26	16	40	29	25	42	22	20	27
gene_1738	105	113	110	87	126	93	135	86	124	98	89
gene_1739	13	19	17	11	16	19	24	13	8	15	13
gene_1740	0	0	0	0	15	0	4	5	0	12	0
gene_1741	260	268	202	216	243	258	242	249	263	220	224
gene_1742	90	66	116	117	128	109	105	80	142	110	157
gene_1743	1	0	1	0	0	0	0	1	1	0	1
gene_1744	3	0	0	0	2	1	2	4	6	0	1
gene_1745	31	49	73	60	70	36	56	42	66	25	63
gene_1746	20	42	18	20	23	38	14	48	24	26	34
gene_1747	1	6	2	1	0	1	1	1	5	1	5
gene_1748	98	35	31	66	81	46	61	74	88	103	57
gene_1749	66	63	51	49	42	38	42	58	41	79	92
gene_1750	20	23	18	16	23	21	19	24	24	19	26
gene_1751	302	278	282	525	631	366	827	216	390	371	241
gene_1752	6	20	12	71	13	20	12	13	27	23	7
gene_1753	32	17	13	24	40	21	9	28	24	14	23
gene_1754	119	58	101	79	119	37	80	108	34	86	71
gene_1755	0	0	4	6	3	9	4	3	1	1	0
gene_1756	547	391	791	608	394	1060	858	583	487	481	483
gene_1757	10	0	1	0	6	3	5	2	1	3	4
gene_1758	49	43	24	25	4	14	9	14	107	40	18
gene_1759	104	98	87	88	109	120	101	92	95	108	70
gene_1760	9	10	6	12	25	1	1	1	5	18	14
gene_1761	1	0	4	0	1	2	2	0	0	3	2
gene_1762	112	50	89	123	122	23	101	80	50	126	44
gene_1763	0	17	28	6	2	56	27	17	20	46	16
gene_1764	355	398	308	250	329	286	326	251	304	544	288
gene_1765	137	40	29	52	64	117	48	50	37	40	53
gene_1766	52	52	66	20	18	38	69	60	19	46	19
gene_1767	206	553	238	214	231	195	79	110	66	178	539
gene_1768	79	133	102	122	81	38	103	65	61	79	57
gene_1769	326	158	121	209	307	146	333	268	119	199	99
gene_1770	546	950	900	888	607	637	1010	703	433	480	912
gene_1771	58	15	31	49	21	80	21	35	34	49	59
gene_1772	7	8	5	8	3	7	2	0	2	0	14
gene_1773	29	29	32	21	33	33	23	42	33	33	36
gene_1774	28	70	28	11	10	20	29	23	20	14	34
gene_1775	7	5	6	13	18	10	9	15	14	7	11
gene_1776	5	29	0	2	1	4	1	1	1	14	5
gene_1777	0	2	1	0	0	0	0	0	0	0	0
gene_1778	1	1	0	1	0	0	1	1	12	1	0
gene_1779	1	14	1	0	0	0	1	7	4	0	8
gene_1780	168	218	196	170	94	117	186	216	222	209	173
gene_1781	171	258	142	169	210	221	244	152	242	275	228
gene_1782	1	1	7	0	0	1	1	0	13	1	2
gene_1783	0	0	3	0	0	1	0	21	0	0	1
gene_1784	0	0	1	0	0	2	0	0	0	3	0
gene_1785	1	1	2	0	0	3	0	3	0	0	1
gene_1786	39	40	41	48	52	25	52	37	38	69	45
gene_1787	116	73	79	125	78	91	49	69	109	105	79
gene_1788	6	3	3	10	0	31	10	28	31	10	1
gene_1789	99	147	127	108	99	99	94	118	107	130	116
gene_1790	64	33	37	60	39	33	106	41	31	45	55
gene_1791	38	67	52	44	57	29	47	62	34	34	76
gene_1792	60	67	105	72	73	80	82	68	77	47	81
gene_1793	131	83	122	109	87	123	70	83	223	86	90
gene_1794	157	179	215	235	179	189	166	260	282	177	164
gene_1795	17	8	45	54	37	40	43	26	20	36	50
gene_1796	69	77	58	148	132	72	99	51	118	90	127
gene_1797	11	24	10	52	12	19	19	27	41	27	15
gene_1798	29	40	9	54	26	49	13	5	39	55	41
gene_1799	10	15	10	21	9	16	12	24	23	14	20
gene_1800	0	1	4	1	4	9	0	4	2	0	3
gene_1801	290	320	198	288	172	211	259	287	271	189	225
gene_1802	0	2	0	0	0	0	0	1	0	1	1
gene_1803	107	27	90	12	3	275	9	84	6	25	39
gene_1804	44	57	60	52	63	54	57	54	61	40	43
gene_1805	10	1	2	6	6	4	4	5	3	6	3
gene_1806	50	17	41	25	91	51	28	35	48	51	87
gene_1807	4	8	1	11	8	13	10	8	7	13	7
gene_1808	5	7	102	89	31	18	40	21	149	1	20
gene_1809	0	0	4	0	1	0	3	7	1	2	0
gene_1810	0	1	6	26	0	1	16	2	3	5	10
gene_1811	28	24	19	36	35	20	28	28	34	16	22
gene_1812	8	2	0	2	1	1	0	0	1	12	2
gene_1813	6	27	6	3	11	6	14	13	10	31	9
gene_1814	8	9	10	10	16	10	17	11	11	5	12
gene_1815	6	4	5	4	6	8	0	6	3	4	8
gene_1816	87	28	45	6	10	59	8	27	14	43	56
gene_1817	39	49	151	24	32	50	83	14	92	90	56
gene_1818	101	8	25	8	101	10	4	38	63	27	30
gene_1819	45	81	63	37	53	36	60	43	50	49	51
gene_1820	26	54	89	62	8	61	29	114	10	40	42
gene_1821	63	50	52	31	27	33	47	37	54	39	28
gene_1822	4	4	3	20	7	0	12	5	8	22	6
gene_1823	84	96	90	85	101	94	101	97	85	130	120
gene_1824	227	205	291	298	272	307	256	245	235	156	308
gene_1825	13	21	12	2	24	4	14	7	1	15	12
gene_1826	2	2	1	2	2	0	10	4	2	1	5
gene_1827	67	59	58	63	65	61	38	74	74	60	54
gene_1828	220	199	253	236	209	200	185	198	210	212	204
gene_1829	9	8	11	13	11	11	7	13	6	5	12
gene_1830	0	0	2	0	6	1	16	0	1	0	0
gene_1831	66	31	46	32	56	53	44	40	28	39	69
gene_1832	54	73	30	57	74	60	52	54	69	23	47
gene_1833	2	5	0	7	1	2	6	0	2	0	0
gene_1834	22	19	26	8	32	26	19	14	12	28	11
gene_1835	42	51	60	32	17	23	17	48	32	38	27
gene_1836	1	5	0	1	0	1	2	0	4	0	4
gene_1837	16	14	15	16	13	9	15	10	17	5	16
gene_1838	0	0	1	0	0	0	2	0	0	2	1
gene_1839	279	326	455	334	368	264	196	270	309	243	267
gene_1840	12	11	12	15	11	13	12	8	12	8	5
gene_1841	2	2	0	2	5	0	0	1	4	2	1
gene_1842	1	0	0	0	0	0	0	0	3	0	0
gene_1843	13	15	28	26	10	16	21	7	12	19	23
gene_1844	22	17	20	40	25	16	20	19	27	34	16
gene_1845	1	0	3	0	0	1	1	0	0	0	1
gene_1846	17	21	33	44	31	75	26	17	48	59	29
gene_1847	277	300	393	218	362	296	275	379	422	420	364
gene_1848	55	79	175	234	82	143	24	135	120	182	174
gene_1849	0	0	0	1	0	2	0	0	0	9	0
gene_1850	0	4	0	15	8	0	3	0	0	0	9
gene_1851	7	7	6	3	11	6	10	4	9	7	10
gene_1852	13	10	51	1	47	9	42	8	11	2	17
gene_1853	11	4	6	1	1	4	4	4	3	5	3
gene_1854	143	159	334	317	200	317	122	148	262	247	108
gene_1855	258	201	150	170	190	183	306	145	247	65	414
gene_1856	82	103	121	93	73	85	132	136	102	115	81
gene_1857	5	3	6	3	3	3	3	1	5	3	3
gene_1858	44	23	25	20	29	36	53	36	37	32	55
gene_1859	1	0	1	1	0	1	0	3	2	0	0
gene_1860	44	33	31	21	28	60	41	40	43	52	42
gene_1861	10	17	14	19	25	38	23	9	7	15	25
gene_1862	120	57	182	31	82	80	139	104	80	8	165
gene_1863	6	1	0	0	9	2	5	3	4	4	1
gene_1864	220	233	194	205	204	197	201	211	207	223	192
gene_1865	2	3	2	1	3	2	3	4	4	0	3
gene_1866	277	294	280	219	252	277	225	255	130	283	202
gene_1867	18	8	4	9	3	3	0	0	4	2	4
gene_1868	114	98	102	101	74	115	93	129	78	155	107
gene_1869	104	86	87	89	90	133	78	92	102	51	95
gene_1870	20	5	22	32	37	17	3	10	15	16	5
gene_1871	603	388	555	524	589	516	449	494	437	475	563
gene_1872	0	1	0	0	2	0	1	0	0	0	0
gene_1873	3	4	6	7	3	7	9	2	5	5	6
gene_1874	927	1053	1037	943	875	1049	845	784	676	816	660
gene_1875	27	32	20	18	8	2	8	5	10	5	13
gene_1876	3	3	5	2	0	10	0	4	6	4	0
gene_1877	42	187	149	281	48	76	87	247	120	117	136
gene_1878	55	69	4	14	62	23	36	28	23	35	58
gene_1879	3267	3536	3037	5470	3776	4810	3232	4876	3024	4778	3927
gene_1880	0	7	0	4	11	0	6	8	4	0	1
gene_1881	58	29	38	47	91	61	106	80	69	97	33
gene_1882	177	131	75	310	226	104	306	233	182	23	134
gene_1883	1	1	2	2	1	3	10	7	5	5	2
gene_1884	100	95	96	66	110	72	75	65	110	72	59
gene_1885	1	1	0	0	0	0	0	4	0	0	0
gene_1886	2	19	0	9	10	10	14	0	5	9	2
gene_1887	2	1	1	1	0	2	1	1	0	4	0
gene_1888	0	5	1	21	2	2	1	5	1	0	11
gene_1889	5	2	7	4	2	2	3	2	3	3	1
gene_1890	0	2	0	0	0	3	1	1	0	8	1
gene_1891	4	0	0	4	2	1	1	1	3	1	2
gene_1892	1	4	6	3	2	1	2	1	1	4	12
gene_1893	71	92	100	94	88	62	77	151	67	84	67
gene_1894	62	26	70	26	39	38	54	65	30	20	44
gene_1895	62	66	71	61	78	75	63	72	62	56	67
gene_1896	57	42	52	42	57	53	48	61	38	53	48
gene_1897	0	74	0	0	0	0	102	0	17	52	253
gene_1898	0	1	2	2	0	0	0	0	0	1	7
gene_1899	1	0	1	28	0	11	0	0	4	0	13
gene_1900	0	1	0	1	2	0	2	1	0	2	0
gene_1901	10	1	20	11	0	0	17	3	0	9	34
gene_1902	2	6	0	15	23	15	0	10	54	10	1
gene_1903	28	26	17	16	31	29	30	31	19	10	40
gene_1904	253	243	203	221	173	156	149	406	254	243	494
gene_1905	5	0	17	0	6	0	3	0	1	4	1
gene_1906	38	24	17	19	26	22	28	15	27	22	16
gene_1907	58	84	78	79	83	49	52	75	53	51	68
gene_1908	83	8	98	1	32	24	47	4	62	26	24
gene_1909	11	11	19	8	11	8	27	4	14	12	11
gene_1910	137	108	102	69	109	87	94	101	64	96	76
gene_1911	13	14	11	5	11	16	13	6	13	12	6
gene_1912	7	14	9	14	22	10	8	5	11	12	11
gene_1913	46	43	48	35	45	54	50	55	56	57	45
gene_1914	163	228	122	163	223	211	135	180	150	273	154
gene_1915	115	69	104	72	102	44	75	96	79	67	129
gene_1916	37	30	37	18	22	26	29	23	23	26	37
gene_1917	1	0	2	1	0	1	1	1	0	0	0
gene_1918	1	84	0	0	3	9	18	1	2	1	0
gene_1919	49	44	45	43	60	43	38	43	44	37	33
gene_1920	0	0	0	1	0	1	0	2	2	1	1
gene_1921	3	2	0	1	2	3	11	3	2	0	6
gene_1922	25	27	23	36	26	29	35	27	22	20	27
gene_1923	1	0	1	1	0	2	0	0	2	1	0
gene_1924	137	216	75	119	49	43	354	245	258	188	118
gene_1925	132	113	57	164	182	80	113	169	203	86	159
gene_1926	49	69	29	38	51	46	61	76	71	44	54
gene_1927	1	0	2	0	0	0	0	0	0	1	0
gene_1928	9	3	1	3	15	12	14	6	12	12	16
gene_1929	10	3	7	7	18	15	8	11	14	12	13
gene_1930	89	94	76	97	80	86	53	79	105	84	70
gene_1931	251	273	241	298	276	262	239	284	299	265	249
gene_1932	208	223	220	180	212	253	200	226	201	179	249
gene_1933	8	8	6	14	10	6	3	10	10	3	4
gene_1934	0	3	0	2	0	3	2	0	1	0	2
gene_1935	34	11	18	42	33	23	26	27	13	14	7
gene_1936	435	482	373	174	185	787	435	245	385	261	330
gene_1937	4	7	15	16	5	14	9	6	22	6	14
gene_1938	219	161	106	97	203	72	114	208	304	128	206
gene_1939	11	0	6	2	30	0	19	5	3	0	5
gene_1940	2	3	2	5	0	3	3	1	0	0	1
gene_1941	23	19	27	8	8	19	62	51	1	99	12
gene_1942	92	48	68	83	137	61	86	67	59	76	55
gene_1943	0	1	16	3	6	0	2	1	1	2	4
gene_1944	1	0	1	0	1	0	0	1	0	1	2
gene_1945	0	0	0	0	1	0	0	0	0	0	0
gene_1946	1	3	1	7	1	1	4	6	6	1	4
gene_1947	2	4	1	36	23	5	2	7	3	24	0
gene_1948	26	22	38	14	10	12	11	13	34	8	12
gene_1949	9	1	3	0	0	5	1	3	5	2	9
gene_1950	0	1	1	0	0	1	0	1	1	0	1
gene_1951	4	11	3	9	7	9	5	5	5	2	5
gene_1952	0	2	0	2	2	5	3	2	3	0	6
gene_1953	19	18	10	17	18	24	14	17	25	15	24
gene_1954	1	1	2	0	0	0	2	1	0	0	1
gene_1955	11	8	9	3	4	4	4	6	7	7	6
gene_1956	172	257	186	282	184	165	326	158	167	90	139
gene_1957	255	211	200	242	269	218	256	224	225	208	210
gene_1958	3	2	0	6	1	2	1	3	2	5	7
gene_1959	0	1	0	0	0	0	0	0	1	2	0
gene_1960	200	185	209	180	167	193	204	199	187	141	177
gene_1961	53	79	63	59	34	51	68	48	52	52	64
gene_1962	0	0	0	1	1	2	0	4	0	1	3
gene_1963	65	64	84	65	61	58	57	60	69	77	57
gene_1964	24	10	5	17	6	7	17	11	10	13	13
gene_1965	17	18	14	25	34	20	17	16	14	15	16
gene_1966	102	168	124	98	142	136	139	115	155	121	121
gene_1967	0	1	1	0	0	0	2	0	0	1	0
gene_1968	0	0	1	3	0	1	1	2	0	0	1
gene_1969	34	6	0	3	2	32	3	20	0	5	0
gene_1970	42	47	51	6	28	21	39	43	41	37	21
gene_1971	3	0	0	0	1	0	0	0	0	0	0
gene_1972	71	7	0	0	104	0	8	1	5	63	18
gene_1973	0	0	3	5	0	0	0	0	2	8	0
gene_1974	19	14	12	23	21	32	16	14	18	27	20
gene_1975	0	0	0	0	0	0	0	0	1	1	1
gene_1976	7	0	0	5	1	0	0	0	4	0	2
gene_1977	14	34	27	10	28	21	25	11	34	10	1
gene_1978	312	199	164	144	282	595	40	150	268	60	46
gene_1979	152	212	174	87	177	281	102	134	161	143	72
gene_1980	73	124	74	161	77	67	79	68	101	149	110
gene_1981	16	11	25	16	6	16	0	119	13	5	31
gene_1982	0	0	9	4	3	10	6	21	2	0	6
gene_1983	1	3	1	1	3	30	0	0	2	1	0
gene_1984	25	17	5	8	12	8	14	5	14	24	11
gene_1985	2	0	5	0	12	0	1	16	0	0	4
gene_1986	13	6	8	9	11	10	13	10	10	20	18
gene_1987	0	0	0	4	1	0	0	0	0	0	0
gene_1988	0	0	0	0	0	0	0	0	0	1	0
gene_1989	33	16	21	29	27	22	38	39	18	27	24
gene_1990	12	37	34	19	81	35	76	66	48	44	50
gene_1991	133	81	86	98	53	9	28	143	88	104	176
gene_1992	4288	6478	5190	7640	7195	7964	5635	6215	4809	4558	8101
gene_1993	22	4	31	17	13	28	4	5	18	23	37
gene_1994	0	1	0	9	10	3	3	1	0	6	6
gene_1995	0	1	4	5	3	4	6	3	2	9	1
gene_1996	2	1	1	13	0	0	0	0	0	0	1
gene_1997	28	34	32	34	18	26	20	29	28	31	50
gene_1998	20	54	25	38	21	30	18	20	15	21	29
gene_1999	13	30	16	23	26	33	15	17	23	32	20
gene_2000	9	9	11	2	5	12	20	5	13	10	5
